"index","reviewStatus","detectedLabel","detectedDeviceType","station","confidence","geometryStatus","geometryCenterXY","sourceEntityIds","evidence"
"1","uncertain","7B-010L-03 (M/H) BASE PLATE","device_number","7B-010L","0.91","ambiguous","73874.4, 86901.5","dxf-mtext-17094","parent station 7B-010L; suffix 03; numeric suffix is a device tag, not a station; distance to group 0 mm; centroid distance 124 mm; block insert u15; robot layer/block hint; multiple nearby geometry groups score similarly; device kind device_number maps to robot.generic; footprint from best ambiguous geometry candidate; generic robot service and reach review allowance; padding 250 mm"
"2","uncertain","7B-010L-1N","nest","7B-010L","0.91","ambiguous","74971.9, 84394.8","dxf-mtext-1713c","parent station 7B-010L; suffix 1N; station-device suffix pattern; distance to group 0 mm; centroid distance 733 mm; block insert putdownstand5; multiple nearby geometry groups score similarly; device kind nest maps to nest.station; footprint from best ambiguous geometry candidate; generic nest load/access allowance; padding 150 mm"
"3","uncertain","7B-010L-2N","nest","7B-010L","0.91","ambiguous","72781.8, 89313.8","dxf-mtext-1707e","parent station 7B-010L; suffix 2N; station-device suffix pattern; distance to group 0 mm; centroid distance 738 mm; block insert putdownstand5; multiple nearby geometry groups score similarly; device kind nest maps to nest.station; footprint from best ambiguous geometry candidate; generic nest load/access allowance; padding 150 mm"
"4","uncertain","7B-010L-3W1","station_device_tag","7B-010L","0.88","linked","71306.1, 86310.8","dxf-mtext-9fddf, dxf-polyline-insert-176e2-child-e9bb, dxf-polyline-insert-176e2-child-e9bc, dxf-polyline-insert-176e2-child-e9bd, dxf-polyline-insert-176e2-child-e9be, dxf-polyline-insert-176e2-child-e9bf, dxf-polyline-insert-176e2-child-e9c0, dxf-polyline-insert-176e2-child-e9c1, dxf-polyline-insert-176e2-child-e9c2, dxf-polyline-insert-176e2-child-e9c3, dxf-polyline-insert-176e2-child-e9c4, dxf-polyline-insert-176e2-child-e9c5, dxf-polyline-insert-176e2-child-e9c6","parent station 7B-010L; suffix 3W1; station-device suffix pattern; long processNote text retained as secondary evidence; distance to group 0 mm; centroid distance 148 mm; block insert 7b-010r-3w1; no equipment library match; footprint from linked geometry group insert-176e2-7b-010r-3w1"
"5","uncertain","7B-010R-03 (M/H) BASE PLATE","device_number","7B-010R","0.91","ambiguous","84594.4, 86896.7","dxf-mtext-16a36","parent station 7B-010R; suffix 03; numeric suffix is a device tag, not a station; distance to group 0 mm; centroid distance 129 mm; block insert u36; robot layer/block hint; multiple nearby geometry groups score similarly; device kind device_number maps to robot.generic; footprint from best ambiguous geometry candidate; generic robot service and reach review allowance; padding 250 mm"
"6","uncertain","7B-010R-1N","nest","7B-010R","0.91","ambiguous","83464.7, 84408.4","dxf-mtext-16a1f","parent station 7B-010R; suffix 1N; station-device suffix pattern; distance to group 0 mm; centroid distance 794 mm; block insert putdownstand5; multiple nearby geometry groups score similarly; device kind nest maps to nest.station; footprint from best ambiguous geometry candidate; generic nest load/access allowance; padding 150 mm"
"7","uncertain","7B-010R-2N","nest","7B-010R","0.91","ambiguous","85666.2, 89299.6","dxf-mtext-16a20","parent station 7B-010R; suffix 2N; station-device suffix pattern; distance to group 0 mm; centroid distance 783 mm; block insert putdownstand5; multiple nearby geometry groups score similarly; device kind nest maps to nest.station; footprint from best ambiguous geometry candidate; generic nest load/access allowance; padding 150 mm"
"8","uncertain","7B-010R-3W1","station_device_tag","7B-010R","0.88","linked","87189.9, 86310.9","dxf-mtext-16d4d, dxf-polyline-insert-17016-child-e9bb, dxf-polyline-insert-17016-child-e9bc, dxf-polyline-insert-17016-child-e9bd, dxf-polyline-insert-17016-child-e9be, dxf-polyline-insert-17016-child-e9bf, dxf-polyline-insert-17016-child-e9c0, dxf-polyline-insert-17016-child-e9c1, dxf-polyline-insert-17016-child-e9c2, dxf-polyline-insert-17016-child-e9c3, dxf-polyline-insert-17016-child-e9c4, dxf-polyline-insert-17016-child-e9c5, dxf-polyline-insert-17016-child-e9c6","parent station 7B-010R; suffix 3W1; station-device suffix pattern; long processNote text retained as secondary evidence; distance to group 0 mm; centroid distance 183 mm; block insert 7b-010r-3w1; no equipment library match; footprint from linked geometry group insert-17016-7b-010r-3w1"
"9","uncertain","7B-020L-02 (RIVET) BASE PLATE","device_number","7B-020L","0.91","ambiguous","67161.1, 85878.8","dxf-mtext-17096","parent station 7B-020L; suffix 02; numeric suffix is a device tag, not a station; distance to group 0 mm; centroid distance 146 mm; block insert u36; robot layer/block hint; multiple nearby geometry groups score similarly; device kind device_number maps to robot.generic; footprint from best ambiguous geometry candidate; generic robot service and reach review allowance; padding 250 mm"
"10","uncertain","7B-020L-03 (M/H) BASE PLATE","device_number","7B-020L","0.91","ambiguous","69746.3, 88530.7","dxf-mtext-17095","parent station 7B-020L; suffix 03; numeric suffix is a device tag, not a station; distance to group 0 mm; centroid distance 130 mm; block insert u234; robot layer/block hint; multiple nearby geometry groups score similarly; device kind device_number maps to robot.generic; footprint from best ambiguous geometry candidate; generic robot service and reach review allowance; padding 250 mm"
"11","uncertain","7B-020L-04 (RIVET) BASE PLATE","robot","7B-020L","0.97","ambiguous","68764.1, 85902.6","dxf-mtext-1709d","parent station 7B-020L; suffix 04; known P736 robot tag; station-device suffix pattern; distance to group 0 mm; centroid distance 359 mm; nearby geometry cluster; robot layer/block hint; multiple nearby geometry groups score similarly; device kind robot maps to robot.generic; footprint from best ambiguous geometry candidate; generic robot service and reach review allowance; padding 250 mm"
"12","uncertain","7B-020R-02 (RIVET) BASE PLATE","device_number","7B-020R","0.91","ambiguous","91338.8, 85892.4","dxf-mtext-16a38","parent station 7B-020R; suffix 02; numeric suffix is a device tag, not a station; distance to group 0 mm; centroid distance 133 mm; block insert u36; robot layer/block hint; multiple nearby geometry groups score similarly; device kind device_number maps to robot.generic; footprint from best ambiguous geometry candidate; generic robot service and reach review allowance; padding 250 mm"
"13","uncertain","7B-020R-03 (M/H) BASE PLATE","device_number","7B-020R","0.91","ambiguous","88749.4, 88537.7","dxf-mtext-16a37","parent station 7B-020R; suffix 03; numeric suffix is a device tag, not a station; distance to group 0 mm; centroid distance 123 mm; block insert u36; robot layer/block hint; multiple nearby geometry groups score similarly; device kind device_number maps to robot.generic; footprint from best ambiguous geometry candidate; generic robot service and reach review allowance; padding 250 mm"
"14","uncertain","7B-020R-03","device_number","7B-020R","0.91","ambiguous","93715.1, 92618.7","dxf-mtext-16d4f","parent station 7B-020R; suffix 03; numeric suffix is a device tag, not a station; distance to group 0 mm; centroid distance 209 mm; block insert fanuc-rbt-cntr-r-j3ib; robot layer/block hint; multiple nearby geometry groups score similarly; device kind device_number maps to robot.generic; footprint from best ambiguous geometry candidate; generic robot service and reach review allowance; padding 250 mm"
"15","uncertain","7B-020R-04 (RIVET) BASE PLATE","device_number","7B-020R","0.91","ambiguous","89704.5, 85890.9","dxf-mtext-1701b","parent station 7B-020R; suffix 04; numeric suffix is a device tag, not a station; distance to group 0 mm; centroid distance 137 mm; block insert u15; robot layer/block hint; multiple nearby geometry groups score similarly; device kind device_number maps to robot.generic; footprint from best ambiguous geometry candidate; generic robot service and reach review allowance; padding 250 mm"
"16","uncertain","7B-020R-3W1 SPAC NUT PED","station_device_tag","7B-020R","0.73","ambiguous","67733, 90695.4","dxf-mtext-17533","parent station 7B-020R; suffix 3W1; station-device suffix pattern; distance to group 0 mm; centroid distance 75 mm; block insert 7b020-3w1; multiple nearby geometry groups score similarly; no equipment library match; footprint from best ambiguous geometry candidate"
"17","uncertain","7B-020R-3W1","station_device_tag","7B-020R","0.69","ambiguous","90735.8, 90778.1","dxf-mtext-16e33","parent station 7B-020R; suffix 3W1; station-device suffix pattern; long processNote text retained as secondary evidence; distance to group 0 mm; centroid distance 156 mm; block insert 7b020-3w1; multiple nearby geometry groups score similarly; no equipment library match; footprint from best ambiguous geometry candidate"
"18","uncertain","7B-030L-02 (RIVET) BASE PLATE","device_number","7B-030L","0.91","ambiguous","63042.2, 86077.2","dxf-mtext-1709e","parent station 7B-030L; suffix 02; numeric suffix is a device tag, not a station; distance to group 0 mm; centroid distance 148 mm; block insert u36; robot layer/block hint; multiple nearby geometry groups score similarly; device kind device_number maps to robot.generic; footprint from best ambiguous geometry candidate; generic robot service and reach review allowance; padding 250 mm"
"19","uncertain","7B-030L-03 (M/H) BASE PLATE","device_number","7B-030L","0.91","ambiguous","65655.6, 89401.3","dxf-mtext-17097","parent station 7B-030L; suffix 03; numeric suffix is a device tag, not a station; distance to group 0 mm; centroid distance 151 mm; block insert u36; robot layer/block hint; multiple nearby geometry groups score similarly; device kind device_number maps to robot.generic; footprint from best ambiguous geometry candidate; generic robot service and reach review allowance; padding 250 mm"
"20","uncertain","7B-030L-04 (RIVET) BASE PLATE","device_number","7B-030L","0.91","ambiguous","64511.5, 86101.9","dxf-mtext-1709c","parent station 7B-030L; suffix 04; numeric suffix is a device tag, not a station; distance to group 0 mm; centroid distance 131 mm; block insert u15; robot layer/block hint; multiple nearby geometry groups score similarly; device kind device_number maps to robot.generic; footprint from best ambiguous geometry candidate; generic robot service and reach review allowance; padding 250 mm"
"21","uncertain","7B-030R-02 (RIVET) BASE PLATE","device_number","7B-030R","0.91","ambiguous","95552, 86097.6","dxf-mtext-17075","parent station 7B-030R; suffix 02; numeric suffix is a device tag, not a station; distance to group 0 mm; centroid distance 134 mm; block insert u36; robot layer/block hint; multiple nearby geometry groups score similarly; device kind device_number maps to robot.generic; footprint from best ambiguous geometry candidate; generic robot service and reach review allowance; padding 250 mm"
"22","uncertain","7B-030R-03 (M/H) BASE PLATE","device_number","7B-030R","0.91","ambiguous","92851.1, 89416.6","dxf-mtext-16a39","parent station 7B-030R; suffix 03; numeric suffix is a device tag, not a station; distance to group 0 mm; centroid distance 145 mm; block insert u36; robot layer/block hint; multiple nearby geometry groups score similarly; device kind device_number maps to robot.generic; footprint from best ambiguous geometry candidate; generic robot service and reach review allowance; padding 250 mm"
