entity_id,label,origin,layer_name,x,y,rotation_deg,height,semantic_item_type,semantic_label,semantic_kind,confidence,association_status,reviewer_result,reviewer_notes
dxf-text-insert-16ae5-child-138f,--,ATTDEF,0-Q-MTLONST,83014.04,82532.28,90.00,25.00,unclassified,,,,,,
dxf-text-insert-16ae5-child-1391,--,ATTDEF,0-Q-MTLONST,82973.39,82532.28,90.00,25.00,unclassified,,,,,,
dxf-text-insert-16afb-child-138f,--,ATTDEF,0-Q-MTLONST,85031.44,82808.47,90.00,25.00,unclassified,,,,,,
dxf-text-insert-16afb-child-1391,--,ATTDEF,0-Q-MTLONST,84990.79,82808.47,90.00,25.00,unclassified,,,,,,
dxf-text-insert-16d57-child-d2ef,--,ATTDEF,0-Q-GENCOPA,81744.33,94453.71,449.91,32.00,unclassified,,,,,,
dxf-text-insert-16d7d-child-de8e,--,ATTDEF,0-Q-GENRO,84195.00,87317.63,270.00,100.00,unclassified,,,,,,
dxf-text-insert-16d8d-child-de8e,--,ATTDEF,0-Q-GENRO,88442.85,88246.88,360.00,100.00,unclassified,,,,,,
dxf-text-insert-16d9d-child-de8e,--,ATTDEF,0-Q-GENRO,93054.15,89943.38,180.00,100.00,unclassified,,,,,,
dxf-text-insert-16dad-child-de8e,--,ATTDEF,0-Q-GENRO,93797.90,85811.75,360.00,100.00,unclassified,,,,,,
dxf-text-insert-16dbd-child-de8e,--,ATTDEF,0-Q-GENRO,97093.79,89312.99,180.00,100.00,unclassified,,,,,,
dxf-text-insert-16dcd-child-de8e,--,ATTDEF,0-Q-GENRO,99762.50,89266.14,180.00,100.00,unclassified,,,,,,
dxf-text-insert-16ddd-child-de8e,--,ATTDEF,0-Q-GENRO,102700.70,89275.07,180.00,100.00,unclassified,,,,,,
dxf-text-insert-16ded-child-de8e,--,ATTDEF,0-Q-GENRO,91044.87,85611.59,360.00,100.00,unclassified,,,,,,
dxf-text-insert-1701c-child-de8e,--,ATTDEF,0-Q-GENRO,89437.80,85611.78,360.00,100.00,unclassified,,,,,,
dxf-text-insert-1703b-child-de8e,--,ATTDEF,0-Q-GENRO,95302.52,85811.39,360.00,100.00,unclassified,,,,,,
dxf-text-insert-171e3-child-138f,--,ATTDEF,0-Q-MTLONST,75481.97,82532.32,270.00,25.00,unclassified,,,,,,
dxf-text-insert-171e3-child-1391,--,ATTDEF,0-Q-MTLONST,75522.62,82532.32,270.00,25.00,unclassified,,,,,,
dxf-text-insert-171f9-child-138f,--,ATTDEF,0-Q-MTLONST,73464.53,82808.51,270.00,25.00,unclassified,,,,,,
dxf-text-insert-171f9-child-1391,--,ATTDEF,0-Q-MTLONST,73505.18,82808.51,270.00,25.00,unclassified,,,,,,
dxf-text-insert-17457-child-d2ef,--,ATTDEF,0-Q-GENCOPA,76751.67,94453.71,270.09,32.00,unclassified,,,,,,
dxf-text-insert-1747d-child-de8e,--,ATTDEF,0-Q-GENRO,74303.24,86731.76,90.00,100.00,unclassified,,,,,,
dxf-text-insert-1748d-child-93021,--,ATTDEF,0-Q-GENRO,69466.92,88246.49,360.00,100.00,unclassified,,,,,,
dxf-text-insert-1749d-child-de8e,--,ATTDEF,0-Q-GENRO,66028.10,89943.49,180.00,100.00,unclassified,,,,,,
dxf-text-insert-174ad-child-de8e,--,ATTDEF,0-Q-GENRO,64261.92,85811.79,360.00,100.00,unclassified,,,,,,
