layer_id,layer_name,visible,entities,text,line,polyline,circle,arc,reviewer_result,reviewer_notes
layer-0,0,true,36273,18,32509,3297,173,276,,
layer-0-p736-dsp-columns,0_P736_DSP COLUMNS,true,0,0,0,0,0,0,,
layer-0-a-annot-t,0-A-ANNOT-T,true,38,24,14,0,0,0,,
layer-0-c-fen,0-C-FEN,true,7637,535,1951,4221,8,922,,
layer-0-d-anno-mach,0-D-ANNO-MACH,true,9,9,0,0,0,0,,
layer-0-d-mach-prod-gage,0-D-MACH-PROD-GAGE,true,12085,0,12080,5,0,0,,
layer-0-d-mach-prod-gage-refedit0,0-D-MACH-PROD-GAGE-RefEdit0,true,2417,0,2416,1,0,0,,
layer-0-e-ctry-flr,0-E-CTRY-FLR,true,0,0,0,0,0,0,,
layer-0-e-ctry-ovhd,0-E-CTRY-OVHD,true,19,0,0,19,0,0,,
layer-0-e-eqpm-panl,0-E-EQPM-PANL,true,2575,59,2173,155,4,184,,
layer-0-q-gencopa,0-Q-GENCOPA,true,128259,102,114932,6715,192,6318,,
layer-0-q-geneqsa,0-Q-GENEQSA,true,44,0,16,28,0,0,,
layer-0-q-genprto,0-Q-GENPRTO,true,7934,34,6764,88,328,720,,
layer-0-q-genro,0-Q-GENRO,true,4565,89,3896,46,318,216,,
layer-0-q-genro-wrk,0-Q-GENRO-WRK,true,98,0,0,98,0,0,,
layer-0-q-genwopl,0-Q-GENWOPL,true,0,0,0,0,0,0,,
layer-0-q-mtlonst,0-Q-MTLONST,true,428,48,364,16,0,0,,
layer-1,1,true,0,0,0,0,0,0,,
layer-air-rips,AIR RIPS,true,684,12,672,0,0,0,,
layer-controls-elect,Controls Elect,true,5,5,0,0,0,0,,
layer-d-anno-mach,D-ANNO-MACH,true,0,0,0,0,0,0,,
layer-defpoints,Defpoints,true,0,0,0,0,0,0,,
layer-des-automation,DES-AUTOMATION,true,10,10,0,0,0,0,,
layer-dsp-p736-7b-010l-7b-080l-2d-section-sect,DSP_P736_7B_010L_7B_080L_2D_SECTION|Sect,true,0,0,0,0,0,0,,
layer-dsp-p736-7b-010l-7b-080l-footprint-out,DSP_P736_7B_010L_7B_080L_FOOTPRINT|out,true,0,0,0,0,0,0,,
layer-dsp-p736-7b-010r-7b-080r-2d-section-sect,DSP_P736_7B_010R_7B_080R_2D_SECTION|sect,true,0,0,0,0,0,0,,
layer-dsp-p736-7b-010r-7b-080r-footprint-out,DSP_P736_7B_010R_7B_080R_FOOTPRINT|out,true,0,0,0,0,0,0,,
layer-dspe-grid-column-modifications,DSPE - Grid|_Column Modifications,true,0,0,0,0,0,0,,
layer-dspe-grid-mpl-relocate,DSPE - Grid|_MPL RELOCATE,true,0,0,0,0,0,0,,
layer-dspe-grid-00-findlayer,DSPE - Grid|00-FindLayer,true,0,0,0,0,0,0,,
layer-dspe-grid-a-anno-scrn,DSPE - Grid|A-ANNO-SCRN,true,0,0,0,0,0,0,,
layer-dspe-grid-a-brac-e,DSPE - Grid|A-BRAC-E,true,0,0,0,0,0,0,,
layer-dspe-grid-a-cols,DSPE - Grid|A-COLS,true,0,0,0,0,0,0,,
layer-dspe-grid-a-door-d,DSPE - Grid|A-DOOR-D,true,0,0,0,0,0,0,,
layer-dspe-grid-a-door-e,DSPE - Grid|A-DOOR-E,true,0,0,0,0,0,0,,
layer-dspe-grid-a-eqpm-d,DSPE - Grid|A-EQPM-D,true,0,0,0,0,0,0,,
layer-dspe-grid-a-flor,DSPE - Grid|A-FLOR,true,0,0,0,0,0,0,,
layer-dspe-grid-a-flor-aisl,DSPE - Grid|A-FLOR-AISL,true,0,0,0,0,0,0,,
layer-dspe-grid-a-flor-d,DSPE - Grid|A-FLOR-D,true,0,0,0,0,0,0,,
layer-dspe-grid-a-flor-hidn-e,DSPE - Grid|A-FLOR-HIDN-E,true,0,0,0,0,0,0,,
layer-dspe-grid-a-flor-hral,DSPE - Grid|A-FLOR-HRAL,true,0,0,0,0,0,0,,
layer-dspe-grid-a-flor-hral-e,DSPE - Grid|A-FLOR-HRAL-E,true,0,0,0,0,0,0,,
layer-dspe-grid-a-flor-rais-e,DSPE - Grid|A-FLOR-RAIS-E,true,0,0,0,0,0,0,,
layer-dspe-grid-a-wall-e-hidden,DSPE - Grid|A-Wall - E - Hidden,true,0,0,0,0,0,0,,
layer-dspe-grid-a-wall-d,DSPE - Grid|A-WALL-D,true,0,0,0,0,0,0,,
layer-dspe-grid-a-wall-e,DSPE - Grid|A-WALL-E,true,0,0,0,0,0,0,,
layer-dspe-grid-a-wall-full-e,DSPE - Grid|A-WALL-FULL-E,true,0,0,0,0,0,0,,
layer-dspe-grid-a-wall-patt,DSPE - Grid|A-WALL-PATT,true,0,0,0,0,0,0,,
layer-dspe-grid-a-wall-prht,DSPE - Grid|A-WALL-PRHT,true,0,0,0,0,0,0,,
layer-dspe-grid-e-charger,DSPE - Grid|E-Charger,true,0,0,0,0,0,0,,
layer-dspe-grid-ff-guarding,DSPE - Grid|FF-GUARDING,true,0,0,0,0,0,0,,
layer-dspe-grid-g-anno-nplt,DSPE - Grid|G-ANNO-NPLT,true,0,0,0,0,0,0,,
layer-dspe-grid-g-detl-l000,DSPE - Grid|G-DETL-L000,true,0,0,0,0,0,0,,
layer-dspe-grid-g-detl-p001,DSPE - Grid|G-DETL-P001,true,0,0,0,0,0,0,,
layer-dspe-grid-g-grid,DSPE - Grid|G-GRID,true,0,0,0,0,0,0,,
layer-dspe-grid-g-grid-misc-e,DSPE - Grid|G-GRID-MISC-E,true,0,0,0,0,0,0,,
layer-dspe-grid-r5113-005-a123-2d-4-13-16-0-s5113-005-ax0-02-3d-0-a-cols,DSPE - Grid|R5113-005-A123-2D_4-13-16$0$S5113-005-AX0-02-3D$0$A-COLS,true,0,0,0,0,0,0,,
layer-dspe-grid-r5113-005-a123-2d-4-13-16-0-s5113-005-ax0-02-3d-0-g-detl-l004,DSPE - Grid|R5113-005-A123-2D_4-13-16$0$S5113-005-AX0-02-3D$0$G-DETL-L004,true,0,0,0,0,0,0,,
layer-dspe-grid-s-bay-callout,DSPE - Grid|S-BAY CALLOUT,true,0,0,0,0,0,0,,
layer-dspe-grid-s-beam-stel-typ2-e,DSPE - Grid|S-BEAM-STEL-TYP2-E,true,0,0,0,0,0,0,,
layer-dspe-grid-s-col-guarding,DSPE - Grid|S-Col Guarding,true,0,0,0,0,0,0,,
layer-dspe-grid-s-col-utility-piping,DSPE - Grid|S-Col Utility Piping,true,0,0,0,0,0,0,,
layer-dspe-grid-s-col-ff,DSPE - Grid|S-COL-FF,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols,DSPE - Grid|S-COLS,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-bridge,DSPE - Grid|S-COLS-BRIDGE,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-conc-bldg,DSPE - Grid|S-COLS-CONC-BLDG,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-d,DSPE - Grid|S-COLS-D,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-sf,DSPE - Grid|S-COLS-SF,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-stel-bldg,DSPE - Grid|S-COLS-STEL-BLDG,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-stel-bldg-e,DSPE - Grid|S-COLS-STEL-BLDG-E,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-stel-bldg-flrsuprt,DSPE - Grid|S-COLS-STEL-BLDG-FLRSUPRT,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-stel-bldg-mod,DSPE - Grid|S-COLS-STEL-BLDG-MOD,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-stel-cran,DSPE - Grid|S-COLS-STEL-CRAN,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-stel-cran-e,DSPE - Grid|S-COLS-STEL-CRAN-E,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-stel-mezz,DSPE - Grid|S-COLS-STEL-MEZZ,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-stel-mezz-e,DSPE - Grid|S-COLS-STEL-MEZZ-E,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-stel-misc,DSPE - Grid|S-COLS-STEL-MISC,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-stel-post,DSPE - Grid|S-COLS-STEL-POST,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-stel-post-e,DSPE - Grid|S-COLS-STEL-POST-E,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-stel-wind,DSPE - Grid|S-COLS-STEL-WIND,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-stel-wind-e,DSPE - Grid|S-COLS-STEL-WIND-E,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-symb-post,DSPE - Grid|S-COLS-SYMB-POST,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-symb-post-e,DSPE - Grid|S-COLS-SYMB-POST-E,true,0,0,0,0,0,0,,
layer-dspe-grid-s-cols-t,DSPE - Grid|S-COLS-T,true,0,0,0,0,0,0,,
layer-dspe-grid-s-dim,DSPE - Grid|S-DIM,true,0,0,0,0,0,0,,
layer-dspe-grid-s-grd,DSPE - Grid|S-GRD,true,0,0,0,0,0,0,,
layer-dspe-grid-s-grid-balloon,DSPE - Grid|S-GRID-BALLOON,true,0,0,0,0,0,0,,
layer-dspe-grid-s-grid-t,DSPE - Grid|S-GRID-T,true,0,0,0,0,0,0,,
layer-dspe-b-01-al-aislenwk-23my-p702-pro-s-0001-market-red-castle,DSPE-B-01-AL-AISLENWK-23MY-P702-PRO-S-0001|_MARKET RED CASTLE,true,0,0,0,0,0,0,,
