item_type,id,label,kind,station_id,confidence,association_status,association_confidence,linked_entity_count,candidate_group_ids,reviewer_result,reviewer_notes
station,7B-010L,7B-010L LOAD & SPAC,station,7B-010L,0.9500,,,97113,,,
station,7B-010R,7B-010R LOAD & SPAC,station,7B-010R,0.9500,,,97026,,,
station,7B-020L,7B-020L GEO & SPAC,station,7B-020L,0.9500,,,72304,,,
station,7B-020R,7B-020R GEO & SPAC,station,7B-020R,0.9500,,,72282,,,
station,7B-030L,7B-030L RESPOT RIVET,station,7B-030L,0.9500,,,58674,,,
station,7B-030R,7B-030R RESPOT RIVET,station,7B-030R,0.9500,,,58663,,,
station,7B-040L,7B-040L RESPOT RIVET,station,7B-040L,0.9500,,,42847,,,
station,7B-040R,7B-040R RESPOT RIVET,station,7B-040R,0.9500,,,42733,,,
station,7B-050L,7B-050L RESPOT RIVET,station,7B-050L,0.9500,,,39897,,,
station,7B-050R,7B-050R RESPOT RIVET,station,7B-050R,0.9500,,,39899,,,
station,7B-060L,7B-060L SPAC,station,7B-060L,0.9500,,,39028,,,
station,7B-060R,7B-060R SPAC,station,7B-060R,0.9500,,,39033,,,
station,7B-070L,7B-070L RACK LOAD,station,7B-070L,0.9500,,,28832,,,
station,7B-070R,7B-070R RACK LOAD,station,7B-070R,0.9500,,,28830,,,
device,semantic-device-device_number-dxf-mtext-17588,7B-010L-03,device_number,7B-010L,0.9800,linked,0.9601,50,insert-17589-fanuc-rbt-cntr-r-j3ib;insert-176e6-u36;insert-1d7d0-u177;cluster-layer-0-q-genro-wrk-38-46;insert-174ed-u36,,
device,semantic-device-device_number-dxf-mtext-17094,7B-010L-03 (M/H)  BASE PLATE,device_number,7B-010L,0.9100,ambiguous,0.6800,0,insert-175b2-u15;insert-1747d-u36;cluster-layer-0-e-ctry-ovhd-41-49;insert-1b2ea-rbrkt-2004-topview;insert-1b2eb-rbrkt-2001-topview,,
device,semantic-device-nest-dxf-mtext-1713c,7B-010L-1N,nest,7B-010L,0.9100,ambiguous,0.6800,0,insert-9ce44-putdownstand5;insert-1747d-u36;insert-1da6c-u101;insert-17780-od-r01;insert-171d3-u20,,
device,semantic-device-nest-dxf-mtext-1707e,7B-010L-2N,nest,7B-010L,0.9100,ambiguous,0.6800,0,insert-9ce43-putdownstand5;cluster-layer-0-e-ctry-ovhd-41-50;cluster-layer-0-e-ctry-ovhd-41-49;insert-1747d-u36;cluster-layer-0-a-annot-t-40-49,,
